company_name,high,low,last_price,prev_close,change,percent_gain
Dr Reddys Labs,"5,120.00","4,695.00","4,996.95","4,760.30",236.65,4.97
Cipla,940.00,879.15,902.40,883.05,19.35,2.19
Divis Labs,"3,898.00","3,675.20","3,779.65","3,752.35",27.3,0.73
Britannia,"3,850.00","3,750.00","3,812.75","3,797.70",15.05,0.4
