company_name,high,low,last_price,prev_close,change,percent_gain
IOC,109.90,105.00,109.45,104.30,5.15,4.94
SBI,419.20,405.30,412.05,401.20,10.85,2.7
BPCL,474.55,460.60,472.85,461.05,11.8,2.56
Larsen,"1,458.00","1,410.00","1,443.25","1,418.05",25.2,1.78
Axis Bank,747.50,726.75,741.15,730.90,10.25,1.4
Power Grid Corp,234.40,228.40,231.00,227.95,3.05,1.34
UPL,793.95,773.70,789.35,779.85,9.5,1.22
ITC,212.05,207.75,211.50,209.05,2.45,1.17
Coal India,149.75,145.65,148.90,147.20,1.7,1.15
Eicher Motors,"2,579.00","2,526.60","2,551.20","2,522.30",28.9,1.15
Dr Reddys Labs,"5,299.00","5,226.70","5,272.15","5,216.45",55.7,1.07
HDFC,"2,558.80","2,515.00","2,540.90","2,518.05",22.85,0.91
HDFC Bank,"1,520.45","1,498.50","1,509.95","1,497.30",12.65,0.84
Maruti Suzuki,"6,965.00","6,802.00","6,871.60","6,814.65",56.95,0.84
ICICI Bank,653.45,638.00,647.35,642.45,4.9,0.76
Hero Motocorp,"2,963.70","2,892.00","2,900.45","2,884.40",16.05,0.56
Cipla,945.50,926.15,931.25,926.90,4.35,0.47
Wipro,518.50,509.65,514.90,512.70,2.2,0.43
Divis Labs,"4,165.00","4,072.35","4,097.20","4,079.90",17.3,0.42
Bajaj Auto,"4,184.85","4,107.40","4,142.30","4,125.55",16.75,0.41
Tech Mahindra,994.00,975.10,983.70,980.50,3.2,0.33
ONGC,113.95,110.85,113.05,112.75,0.3,0.27
HCL Tech,939.00,927.70,932.80,930.65,2.15,0.23
Sun Pharma,698.40,689.60,690.95,690.40,0.55,0.08
NTPC,113.95,112.05,112.90,112.85,0.05,0.04
TCS,"3,105.00","3,072.00","3,081.50","3,080.50",1,0.03
